Date,Stocks,Number_of_Stocks
01-02-2023,"ABFRL.NS, ALOKINDS.NS, APLLTD.NS, ASTERDM.NS, AXISBANK.NS, BAJFINANCE.NS, BALAMINES.NS, BATAINDIA.NS, BAYERCROP.NS, BCG.NS, BERGEPAINT.NS, BIRLACORPN.NS, BORORENEW.NS, BSE.NS, CDSL.NS, CESC.NS, CIPLA.NS, COLPAL.NS, CUB.NS, DEEPAKNTR.NS, DLF.NS, DMART.NS, ELGIEQUIP.NS, ERIS.NS, GLENMARK.NS, GRANULES.NS, GRASIM.NS, GUJALKALI.NS, ICICIBANK.NS, ICICIGI.NS, INDIACEM.NS, INDUSINDBK.NS, INDUSTOWER.NS, JMFINANCIL.NS, JSWENERGY.NS, JUBLFOOD.NS, KOTAKBANK.NS, LTTS.NS, NATCOPHARM.NS, PAGEIND.NS, PRESTIGE.NS, RALLIS.NS, RELAXO.NS, RELIANCE.NS, ROSSARI.NS, SANOFI.NS, SBICARD.NS, SBIN.NS, SYNGENE.NS, TANLA.NS, TATACONSUM.NS, TEAMLEASE.NS, TORNTPOWER.NS, TRENT.NS, TTML.NS, UNOMINDA.NS, VARROC.NS, WELSPUNLIV.NS, WHIRLPOOL.NS, YESBANK.NS",60
01-03-2023,"360ONE.NS, ALKYLAMINE.NS, AMBUJACEM.NS, ATUL.NS, AVANTIFEED.NS, AXISBANK.NS, BAJAJFINSV.NS, BALAMINES.NS, BAYERCROP.NS, BCG.NS, BHARATFORG.NS, BHARTIARTL.NS, BLUEDART.NS, CASTROLIND.NS, CDSL.NS, CUB.NS, DCMSHRIRAM.NS, DIVISLAB.NS, DMART.NS, FINEORG.NS, GESHIP.NS, GODREJPROP.NS, GRANULES.NS, GRASIM.NS, GRINDWELL.NS, HDFCAMC.NS, HDFCLIFE.NS, HEG.NS, HEROMOTOCO.NS, HFCL.NS, HINDALCO.NS, HINDPETRO.NS, HINDUNILVR.NS, ICICIGI.NS, ICICIPRULI.NS, INDIACEM.NS, INDIANB.NS, INDIGO.NS, INDUSINDBK.NS, IPCALAB.NS, ITI.NS, JKLAKSHMI.NS, JSWSTEEL.NS, JUBLFOOD.NS, JYOTHYLAB.NS, KRBL.NS, LAXMIMACH.NS, LICHSGFIN.NS, LUPIN.NS, MANAPPURAM.NS, MMTC.NS, MRF.NS, MUTHOOTFIN.NS, NESTLEIND.NS, PAGEIND.NS, PATANJALI.NS, PEL.NS, PFIZER.NS, PNCINFRA.NS, POLYPLEX.NS, PRINCEPIPE.NS, QUESS.NS, RAIN.NS, RAJESHEXPO.NS, RALLIS.NS, RCF.NS, RELAXO.NS, RENUKA.NS, RHIM.NS, RVNL.NS, SBILIFE.NS, SBIN.NS, STLTECH.NS, SUNPHARMA.NS, SUNTECK.NS, SUNTV.NS, TATACONSUM.NS, TATAELXSI.NS, TATASTEEL.NS, TORNTPHARM.NS, TRIDENT.NS, UNIONBANK.NS, UTIAMC.NS, VIPIND.NS, VMART.NS, WELCORP.NS, ZEEL.NS",87
01-04-2023,"ABFRL.NS, ACC.NS, ATGL.NS, AVANTIFEED.NS, BALAMINES.NS, BANDHANBNK.NS, BBTC.NS, BORORENEW.NS, CDSL.NS, CUB.NS, DEEPAKFERT.NS, ERIS.NS, GILLETTE.NS, GODREJPROP.NS, GUJALKALI.NS, GUJGASLTD.NS, HEG.NS, IEX.NS, INDUSTOWER.NS, IRCTC.NS, ISEC.NS, JUBLPHARMA.NS, KANSAINER.NS, LAURUSLABS.NS, LAXMIMACH.NS, LICHSGFIN.NS, M&M.NS, MMTC.NS, PNBHOUSING.NS, PRINCEPIPE.NS, RAJESHEXPO.NS, ROSSARI.NS, STLTECH.NS, SUNTECK.NS, TATAELXSI.NS, TATAPOWER.NS, TEAMLEASE.NS, UBL.NS, VIPIND.NS, WIPRO.NS",40
01-05-2023,"RAJESHEXPO.NS, RALLIS.NS, SUMICHEM.NS",3
01-06-2023,"AAVAS.NS, ALLCARGO.NS, ATGL.NS, CUB.NS, DEEPAKFERT.NS, EIDPARRY.NS, GMRINFRA.NS, INDIANB.NS, JINDALSTEL.NS, ONGC.NS, RENUKA.NS, STLTECH.NS, SUNTECK.NS, VMART.NS",14
01-07-2023,"AEGISCHEM.NS, ATGL.NS, CHAMBLFERT.NS, EIDPARRY.NS, GAEL.NS, IEX.NS, JKPAPER.NS, KRBL.NS, NMDC.NS, OIL.NS, PAGEIND.NS, RHIM.NS, SBICARD.NS, SHREECEM.NS, SRF.NS, STLTECH.NS, VOLTAS.NS, ZEEL.NS",18
01-08-2023,"ALKYLAMINE.NS, BLUEDART.NS, BRITANNIA.NS, DALBHARAT.NS, DCMSHRIRAM.NS, DEEPAKFERT.NS, FINEORG.NS, FLUOROCHEM.NS, HINDUNILVR.NS, NAVINFLUOR.NS, POWERINDIA.NS, SRF.NS, SWANENERGY.NS, TATAELXSI.NS",14
01-09-2023,"BLUEDART.NS, BORORENEW.NS, BPCL.NS, BRITANNIA.NS, CUMMINSIND.NS, DELTACORP.NS, HDFCBANK.NS, HINDPETRO.NS, HINDUNILVR.NS, HONAUT.NS, KOTAKBANK.NS, PGHL.NS, RELIANCE.NS, SBICARD.NS, SHOPERSTOP.NS, TORNTPHARM.NS, VEDL.NS",17
01-10-2023,"ABB.NS, AEGISCHEM.NS, ALKYLAMINE.NS, APOLLOTYRE.NS, ASIANPAINT.NS, ATGL.NS, BATAINDIA.NS, BDL.NS, CEATLTD.NS, EPL.NS, GALAXYSURF.NS, GUJGASLTD.NS, HAPPSTMNDS.NS, HDFCBANK.NS, HINDUNILVR.NS, INDIAMART.NS, KAJARIACER.NS, KOTAKBANK.NS, NAUKRI.NS, PIDILITIND.NS, PIIND.NS, POWERINDIA.NS, RALLIS.NS, RAYMOND.NS, RELIANCE.NS, SAREGAMA.NS, SBICARD.NS, SHARDACROP.NS, SHOPERSTOP.NS, SRF.NS, SUPRAJIT.NS, TIMKEN.NS, VEDL.NS",33
01-11-2023,"AARTIDRUGS.NS, AARTIIND.NS, ALLCARGO.NS, APLLTD.NS, ASHOKLEY.NS, ATGL.NS, AUBANK.NS, BALAMINES.NS, BANDHANBNK.NS, BATAINDIA.NS, BEML.NS, BRITANNIA.NS, CAMS.NS, CARBORUNIV.NS, CCL.NS, COROMANDEL.NS, CROMPTON.NS, DCMSHRIRAM.NS, DEEPAKNTR.NS, EIDPARRY.NS, ENGINERSIN.NS, EPL.NS, FINCABLES.NS, FINPIPE.NS, GLAXO.NS, GSPL.NS, GUJGASLTD.NS, HAL.NS, HAPPSTMNDS.NS, HAVELLS.NS, HDFCBANK.NS, HFCL.NS, HINDZINC.NS, ICICIBANK.NS, IDBI.NS, IDFC.NS, IDFCFIRSTB.NS, INDHOTEL.NS, INDIACEM.NS, INDIAMART.NS, ITC.NS, JBMA.NS, JINDALSTEL.NS, JSWSTEEL.NS, KEI.NS, KRBL.NS, LAURUSLABS.NS, LAXMIMACH.NS, LTTS.NS, M&M.NS, MAHLIFE.NS, MPHASIS.NS, PNCINFRA.NS, POONAWALLA.NS, PRINCEPIPE.NS, RAIN.NS, REDINGTON.NS, SAIL.NS, SAREGAMA.NS, SBICARD.NS, SCHAEFFLER.NS, SHARDACROP.NS, SHOPERSTOP.NS, SKFINDIA.NS, STLTECH.NS, SUPRAJIT.NS, TATACHEM.NS, TATASTEEL.NS, TEAMLEASE.NS, TECHM.NS, TIMKEN.NS, USHAMART.NS, VIPIND.NS, WIPRO.NS, YESBANK.NS, ZYDUSLIFE.NS",76
01-12-2023,"CHOLAHLDNG.NS, FINEORG.NS, SKFINDIA.NS, TEJASNET.NS, THERMAX.NS, VINATIORGA.NS",6
01-01-2024,"APLAPOLLO.NS, CERA.NS, ESCORTS.NS, LUXIND.NS, SAFARI.NS, TTKPRESTIG.NS, WHIRLPOOL.NS",7
01-02-2024,"ASAHIINDIA.NS, ATUL.NS, BAJFINANCE.NS, COROMANDEL.NS, DIVISLAB.NS, DMART.NS, HDFCBANK.NS, ITC.NS, JUBLFOOD.NS, LAURUSLABS.NS, LAXMIMACH.NS, LTIM.NS, LUXIND.NS, OBEROIRLTY.NS, ORIENTELEC.NS, PIIND.NS, POLYCAB.NS, POLYPLEX.NS, PRAJIND.NS, SBICARD.NS, SHARDACROP.NS, SRF.NS, TEJASNET.NS, TRITURBINE.NS, UPL.NS, VIPIND.NS, WHIRLPOOL.NS",27
