Date,Stocks,Number_of_Stocks
01-04-2019,"ABBOTINDIA.NS, ALKEM.NS, BIOCON.NS, BOSCHLTD.NS, CEATLTD.NS, CIPLA.NS, CRISIL.NS, DABUR.NS, ENDURANCE.NS, GPIL.NS, HINDUNILVR.NS, KSB.NS, LINDEINDIA.NS, M&M.NS, MAHLIFE.NS, MARICO.NS, MARUTI.NS, MRF.NS, SANOFI.NS, SFL.NS, TATAINVEST.NS, THERMAX.NS, TVSMOTOR.NS, WIPRO.NS",24
01-05-2019,"3MINDIA.NS, ALKEM.NS, ASAHIINDIA.NS, ASTERDM.NS, BAJAJHLDNG.NS, BAYERCROP.NS, BEML.NS, BIOCON.NS, BRITANNIA.NS, CARBORUNIV.NS, CCL.NS, CEATLTD.NS, CONCOR.NS, CYIENT.NS, DABUR.NS, DMART.NS, GLAXO.NS, GODREJCP.NS, GPIL.NS, HEROMOTOCO.NS, IBULHSGFIN.NS, JUBLPHARMA.NS, L&TFH.NS, LAXMIMACH.NS, M&M.NS, MARUTI.NS, NATCOPHARM.NS, NH.NS, PEL.NS, PGHH.NS, PHOENIXLTD.NS, SHRIRAMFIN.NS, SPARC.NS, SUNDARMFIN.NS, TATACHEM.NS, TATACOMM.NS, TIMKEN.NS, WHIRLPOOL.NS",38
01-06-2019,"AUROPHARMA.NS, BALKRISIND.NS, BLUEDART.NS, ECLERX.NS, EMAMILTD.NS, ESCORTS.NS, GLAXO.NS, GLENMARK.NS, GODFRYPHLP.NS, HINDZINC.NS, MOTHERSON.NS, NIACL.NS, PAGEIND.NS, PERSISTENT.NS, TORNTPHARM.NS, YESBANK.NS",16
01-07-2019,"AARTIDRUGS.NS, APARINDS.NS, AUROPHARMA.NS, BLS.NS, CGPOWER.NS, CHOLAHLDNG.NS, DELTACORP.NS, EMAMILTD.NS, ESCORTS.NS, GSFC.NS, HFCL.NS, IDEA.NS, IDFC.NS, IRB.NS, JBMA.NS, JINDALSTEL.NS, JKPAPER.NS, JMFINANCIL.NS, KARURVYSYA.NS, KRBL.NS, L&TFH.NS, LAURUSLABS.NS, NETWORK18.NS, PATANJALI.NS, PCBL.NS, RAYMOND.NS, RENUKA.NS, RTNINDIA.NS, SHARDACROP.NS, TATACOMM.NS, TECHM.NS, TV18BRDCST.NS, TVSMOTOR.NS, YESBANK.NS",34
01-08-2019,"ABB.NS, ABCAPITAL.NS, ABFRL.NS, AJANTPHARM.NS, ALOKINDS.NS, APLAPOLLO.NS, APOLLOTYRE.NS, ASAHIINDIA.NS, BAJAJ-AUTO.NS, BAJAJFINSV.NS, BALKRISIND.NS, BIOCON.NS, BLUESTARCO.NS, BRITANNIA.NS, CANBK.NS, CASTROLIND.NS, CERA.NS, CHOLAHLDNG.NS, COCHINSHIP.NS, CONCOR.NS, COROMANDEL.NS, CRISIL.NS, CUB.NS, CYIENT.NS, EICHERMOT.NS, ELGIEQUIP.NS, ENDURANCE.NS, ESCORTS.NS, EXIDEIND.NS, FDC.NS, FEDERALBNK.NS, GLENMARK.NS, GPIL.NS, GRASIM.NS, HDFCBANK.NS, IBULHSGFIN.NS, INDUSTOWER.NS, JKPAPER.NS, JUBLPHARMA.NS, KSB.NS, LUXIND.NS, MANAPPURAM.NS, NLCINDIA.NS, PAGEIND.NS, PFC.NS, PFIZER.NS, PNBHOUSING.NS, POLYPLEX.NS, PRAJIND.NS, QUESS.NS, RAMCOCEM.NS, RAYMOND.NS, SCHAEFFLER.NS, SUNTECK.NS, SUPRAJIT.NS, TATAMOTORS.NS, TIINDIA.NS, TITAN.NS, TV18BRDCST.NS, TVSMOTOR.NS, VINATIORGA.NS",61
01-09-2019,"ALLCARGO.NS, ALOKINDS.NS, BANKBARODA.NS, BANKINDIA.NS, BHARATFORG.NS, BHEL.NS, CIEINDIA.NS, COALINDIA.NS, DEEPAKFERT.NS, FEDERALBNK.NS, GNFC.NS, GODREJIND.NS, GUJALKALI.NS, IDEA.NS, INDIACEM.NS, INTELLECT.NS, IOC.NS, IRB.NS, JAMNAAUTO.NS, JBMA.NS, JINDALSTEL.NS, JYOTHYLAB.NS, KARURVYSYA.NS, LEMONTREE.NS, LICHSGFIN.NS, MASTEK.NS, MRPL.NS, NBCC.NS, NCC.NS, NMDC.NS, OLECTRA.NS, ONGC.NS, PNBHOUSING.NS, RAYMOND.NS, RCF.NS, RENUKA.NS, RTNINDIA.NS, SBIN.NS, STLTECH.NS, SUZLON.NS, TATAMOTORS.NS, TATAMTRDVR.NS, TATASTEEL.NS, TTML.NS, UNIONBANK.NS, YESBANK.NS",46
01-10-2019,"CANBK.NS, ECLERX.NS, IOB.NS, L&TFH.NS, LICHSGFIN.NS, MAHABANK.NS, PATANJALI.NS, PEL.NS, PNBHOUSING.NS, RECLTD.NS, RENUKA.NS, SAREGAMA.NS, SPARC.NS, UNIONBANK.NS, ZEEL.NS",15
01-11-2019,"AUROPHARMA.NS, BCG.NS, CCL.NS, IBULHSGFIN.NS, IDEA.NS, INDIGO.NS, RTNINDIA.NS, SOBHA.NS, TEJASNET.NS",9
01-12-2019,"ALLCARGO.NS, APARINDS.NS, BEL.NS, CCL.NS, CENTURYTEX.NS, CHAMBLFERT.NS, CUMMINSIND.NS, ELGIEQUIP.NS, FSL.NS, GILLETTE.NS, GRINDWELL.NS, HEROMOTOCO.NS, INDIGO.NS, INTELLECT.NS, LT.NS, M&M.NS, MAHLIFE.NS, OFSS.NS, PATANJALI.NS, PRSMJOHNSN.NS, SIEMENS.NS, SUZLON.NS, SYMPHONY.NS, TEAMLEASE.NS, TRITURBINE.NS, TTKPRESTIG.NS, WIPRO.NS, ZYDUSWELL.NS",28
01-01-2020,"ABB.NS, BHEL.NS, CENTRALBK.NS, CGPOWER.NS, EIHOTEL.NS, GILLETTE.NS, GNFC.NS, HINDUNILVR.NS, INDIACEM.NS, INDIGO.NS, PATANJALI.NS, PEL.NS, PNBHOUSING.NS, PRSMJOHNSN.NS, SHARDACROP.NS, SUNTV.NS, TTML.NS, VGUARD.NS, VMART.NS, WELSPUNLIV.NS, YESBANK.NS, ZENSARTECH.NS",22
